client_id,predicted
C001538,streaming
C001539,gym
C001541,streaming
C001543,cloud
C001544,music
C001545,none
C001546,music
C001550,insurance
C001558,none
C001568,streaming
C001579,gym
C001580,insurance
C001586,mobile
C001603,streaming
C001605,streaming
C001606,streaming
C001611,cloud
C001619,mobile
C001622,none
C001623,insurance
C001636,insurance
C001637,none
C001638,none
C001646,cloud
C001651,none
C001652,gym
C001657,mobile
C001659,music
C001667,software
C001675,software
C001679,mobile
C001688,cloud
C001690,gym
C001691,none
C001694,software
C001702,streaming
C001711,cloud
C001725,none
C001730,mobile
C001733,gym
C001738,cloud
C001739,gym
C001746,gym
C001748,music
C001754,mobile
C001761,none
C001771,insurance
C001774,gym
C001777,insurance
C001780,none
C001782,music
C001786,gym
C001796,streaming
C001803,cloud
C001811,cloud
C001812,music
C001814,none
C001816,streaming
C001821,none
C001823,none
C001829,none
C001830,cloud
C001835,streaming
C001836,gym
C001837,gym
C001845,music
C001861,insurance
C001862,insurance
C001869,gym
C001874,gym
C001887,gym
C001888,none
C001892,software
C001907,none
C001910,none
C001917,insurance
C001920,insurance
C001938,gym
C001954,streaming
C001971,mobile
C001982,software
C001989,cloud
C001990,streaming
C001991,none
C001992,streaming
C002009,music
C002017,streaming
C002019,cloud
C002023,insurance
C002029,gym
C002035,gym
C002038,cloud
C002048,music
C002065,insurance
C002066,insurance
C002073,insurance
C002080,cloud
C002083,insurance
C002090,insurance
C002123,none
C002125,gym
C002130,none
C002133,music
C002137,mobile
C002140,cloud
C002141,insurance
C002145,cloud
C002156,none
C002159,none
C002161,gym
C002169,music
C002178,mobile
C002180,mobile
C002185,music
C002190,none
C002202,streaming
C002205,streaming
C002210,cloud
C002211,none
C002217,mobile
C002221,music
C002244,insurance
C002248,insurance
C002252,none
C002258,software
C002262,music
C002263,software
C002264,software
C002269,gym
C002270,mobile
C002287,insurance
C002289,music
C002290,mobile
C002295,music
C002306,gym
C002308,gym
C002315,streaming
C002317,software
C002319,cloud
C002328,insurance
C002334,mobile
C002336,gym
C002339,cloud
C002340,gym
C002341,streaming
C002342,cloud
C002345,none
C002348,streaming
C002359,streaming
C002377,none
C002381,insurance
C002383,none
C002385,none
C002390,none
C002392,cloud
C002396,mobile
C002403,none
C002408,none
C002409,software
C002410,streaming
C002412,cloud
C002416,gym
C002446,none
C002454,cloud
C002465,streaming
C002467,gym
C002469,none
C002486,streaming
C002496,cloud
C002497,music
C002502,gym
C002505,insurance
C002509,software
C002510,none
C002515,none
C002520,streaming
C002524,none
C002529,software
C002540,gym
C002546,streaming
C002547,gym
C002551,streaming
C002554,insurance
C002556,streaming
C002557,insurance
C002558,none
C002561,gym
C002565,streaming
C002576,none
C002578,insurance
C002588,none
C002591,cloud
C002592,streaming
C002598,streaming
C002614,none
C002630,software
C002640,software
C002652,gym
C002654,gym
C002658,gym
C002659,music
C002662,mobile
C002669,none
C002674,cloud
C002675,none
C002681,none
C002682,mobile
C002684,software
C002685,cloud
C002691,gym
C002693,none
C002695,music
C002701,none
C002702,mobile
C002704,none
C002706,none
C002708,streaming
C002718,software
C002722,music
C002728,streaming
C002735,none
C002745,gym
C002748,cloud
C002756,none
C002766,cloud
C002770,none
C002776,streaming
C002778,mobile
C002783,cloud
C002784,none
C002785,none
C002787,music
C002789,music
C002790,gym
C002824,mobile
C002825,mobile
C002845,insurance
C002854,none
C002857,music
C002864,music
C002878,none
C002881,streaming
C002887,mobile
C002888,gym
C002904,none
C002906,none
C002914,gym
C002925,cloud
C002933,none
C002936,mobile
C002937,music
C002939,streaming
C002951,none
C002956,streaming
C002961,streaming
C002962,none
C002965,gym
C002968,mobile
C002972,mobile
C002974,software
C002979,none
C002982,software
C002983,software
C003000,software
C003002,cloud
C003003,gym
C003005,gym
C003013,music
C003014,software
C003016,none
C003027,streaming
C003028,gym
C003033,insurance
C003036,gym
C003039,none
C003040,none
C003042,mobile
C003052,none
C003056,gym
C003057,mobile
C003059,none
C003064,music
C003091,gym
C003093,software
C003094,software
C003097,streaming
C003102,mobile
C003117,cloud
C003131,gym
C003136,mobile
C003142,cloud
C003159,mobile
C003166,gym
C003169,software
C003174,none
C003190,software
C003195,music
C003204,software
C003208,music
C003219,streaming
C003222,cloud
C003225,none
C003226,mobile
C003239,insurance
C003253,streaming
C003262,insurance
C003275,insurance
C003279,none
C003288,gym
C003296,gym
C003316,insurance
C003317,cloud
C003318,insurance
C003321,none
C003328,none
C003329,cloud
C003336,mobile
C003337,software
C003341,music
C003344,mobile
C003350,insurance
C003363,music
C003366,streaming
C003368,insurance
C003370,insurance
C003390,mobile
C003394,gym
C003402,insurance
C003410,cloud
C003416,streaming
C003417,insurance
C003418,streaming
C003432,none
C003436,gym
C003441,insurance
C003452,gym
C003454,insurance
C003464,streaming
C003465,music
C003471,mobile
C003477,cloud
C003503,cloud
C003505,streaming
C003523,none
C003525,mobile
C003527,music
C003533,insurance
C003541,mobile
C003545,gym
C003547,mobile
C003548,streaming
C003551,mobile
C003554,cloud
C003555,software
C003564,streaming
C003565,gym
C003566,none
C003568,cloud
C003574,none
C003581,music
C003601,none
C003603,none
C003604,cloud
C003611,streaming
C003620,streaming
C003627,insurance
C003628,none
C003632,cloud
C003633,software
C003643,streaming
C003645,streaming
C003651,software
C003655,none
C003665,streaming
C003671,none
C003673,none
C003678,none
C003679,streaming
C003686,none
C003688,streaming
C003701,streaming
C003702,none
C003704,streaming
C003707,music
C003711,music
C003712,none
C003730,music
C003731,gym
C003737,streaming
C003742,gym
C003757,mobile
C003758,software
C003759,software
C003760,insurance
C003777,streaming
C003783,none
C003795,none
C003797,insurance
C003798,none
C003800,insurance
C003803,software
C003804,insurance
C003828,gym
C003834,music
C003839,gym
C003845,none
C003847,music
C003859,music
C003861,none
C003865,none
C003867,streaming
C003871,insurance
C003884,music
C003895,music
C003902,software
C003909,insurance
C003915,software
C003916,cloud
C003922,none
C003923,gym
C003934,none
C003945,gym
C003955,software
C003956,gym
C003958,music
C003974,software
C003975,software
C003977,none
C003983,streaming
C003984,none
C003997,music
C003998,mobile
