client_id,predicted
C002467,gym
C002469,none
C002486,none
C002496,none
C002497,none
C002502,gym
C002505,insurance
C002509,software
C002510,none
C002515,none
C002520,none
C002524,none
C002529,software
C002540,music
C002546,streaming
C002547,gym
C002551,none
C002554,none
C002556,none
C002557,insurance
C002558,none
C002561,mobile
C002565,gym
C002576,none
C002578,insurance
C002588,none
C002591,insurance
C002592,none
C002598,none
C002614,none
C002630,cloud
C002640,none
C002652,gym
C002654,gym
C002658,gym
C002659,music
C002662,mobile
C002669,none
C002674,cloud
C002675,none
C002681,none
C002682,none
C002684,mobile
C002685,cloud
C002691,none
C002693,none
C002695,music
C002701,none
C002702,none
C002704,none
C002706,none
C002708,none
C002718,software
C002722,music
C002728,streaming
C002735,none
C002745,gym
C002748,cloud
C002756,mobile
C002766,cloud
C002770,none
C002776,streaming
C002778,none
C002783,cloud
C002784,none
C002785,none
C002787,music
C002789,none
C002790,music
C002824,mobile
C002825,mobile
C002845,none
C002854,none
C002857,music
C002864,none
C002878,music
C002881,streaming
C002887,cloud
C002888,none
C002904,none
C002906,none
C002914,gym
C002925,cloud
C002933,cloud
C002936,none
C002937,gym
C002939,none
C002951,none
C002956,streaming
C002961,streaming
C002962,none
C002965,gym
C002968,mobile
C002972,insurance
C002974,mobile
C002979,none
C002982,none
C002983,streaming
C003000,software
C003002,none
C003003,gym
C003005,gym
C003013,software
C003014,none
C003016,none
C003027,gym
C003028,none
C003033,none
C003036,gym
C003039,none
C003040,insurance
C003042,gym
C003052,none
C003056,gym
C003057,cloud
C003059,none
C003064,music
C003091,none
C003093,none
C003094,software
C003097,gym
C003102,mobile
C003117,software
C003131,cloud
C003136,none
C003142,none
C003159,none
C003166,none
C003169,software
C003174,none
C003190,software
C003195,music
C003204,none
C003208,none
C003219,software
C003222,cloud
C003225,none
C003226,mobile
C003239,insurance
C003253,streaming
C003262,none
C003275,insurance
C003279,none
C003288,gym
C003296,gym
C003316,insurance
C003317,cloud
C003318,none
C003321,none
C003328,none
C003329,cloud
C003336,music
C003337,cloud
C003341,music
C003344,mobile
C003350,none
C003363,music
C003366,mobile
C003368,gym
C003370,none
C003390,mobile
C003394,none
C003402,none
C003410,cloud
C003416,streaming
C003417,insurance
C003418,cloud
C003432,none
C003436,insurance
C003441,insurance
C003452,streaming
C003454,gym
C003464,streaming
C003465,gym
C003471,mobile
C003477,cloud
C003503,cloud
C003505,cloud
C003523,none
C003525,none
C003527,music
C003533,gym
C003541,none
C003545,gym
C003547,mobile
C003548,none
C003551,mobile
C003554,cloud
C003555,none
C003564,none
C003565,gym
C003566,none
C003568,cloud
C003574,none
C003581,mobile
C003601,none
C003603,none
C003604,cloud
C003611,music
C003620,software
C003627,insurance
C003628,none
C003632,none
C003633,cloud
C003643,none
C003645,streaming
C003651,none
C003655,none
C003665,streaming
C003671,none
C003673,none
C003678,none
C003679,none
C003686,cloud
C003688,none
C003701,streaming
C003702,none
C003704,streaming
C003707,music
C003711,music
C003712,none
C003730,music
C003731,gym
C003737,none
C003742,gym
C003757,none
C003758,music
C003759,streaming
C003760,insurance
C003777,gym
C003783,none
C003795,none
C003797,insurance
C003798,none
C003800,insurance
C003803,music
C003804,insurance
C003828,none
C003834,music
C003839,none
C003845,none
C003847,music
C003859,music
C003861,none
C003865,none
C003867,none
C003871,none
C003884,none
C003895,music
C003902,software
C003909,insurance
C003915,none
C003916,none
C003922,none
C003923,none
C003934,none
C003945,gym
C003955,insurance
C003956,gym
C003958,none
C003974,music
C003975,software
C003977,none
C003983,streaming
C003984,none
C003997,gym
C003998,mobile
